Hypothesis,Reference
бремени тяжелого времени « » на « » тяжелого времени тяжелого времени тяжелого бремени тяжелого времени на « » « » « »,Р
открыл Северную Корею Южной Корее и миру .,С
"Общий ежегодный профицит Китая ( исключая Гонконг ) сейчас составляет 200 миллиардов долларов , что снизился примерно на одну треть с 2008 г .",О
"Сегодня 19 ведущих американских университетов в новостей и в рассматриваются - , как 50 % или больше представительства в Совете ).",С
"общество требует действий , и правительство премьер - министра Реджепа Тайипа Эрдогана отреагировало .",Т
"Критики неоднократно , что фундаментальные противоречия не были решены , и что если евро будет продолжать выживать в долгосрочной перспективе , то для того , чтобы иметь место фискальный и банковский союз , который потребует объединения , чем большинство европейцев готовы принять .",К
"Другими словами , голоса многих людей неприятие риска , страхом и запугивания , а не надеждой , или глубокой эмоциональной привязанности к общей идентичности .",Д
"Несколько руководителей Европейского Союза были в небольшом на Швеции , предположительно шаги против наиболее вероятного кандидата , а премьер - министр Великобритании Дэвид Кэмерон начал государственную кампанию , чтобы вернуть себе право правительства стран - членов ЕС решать , кто будет возглавлять исполнительную власть ЕС .",Н
"В развивающихся мире , беспокойством о суверенитете и конкуренцией , прогресс в решении глобальных проблем будет более сложным , чем когда - либо – потенциально разрушительным последствием .",В
"Это уменьшит шансы России на то , что Россия когда - нибудь станет демократией , поскольку она может управлять империей только в качестве государства .",Э
в трудные времена в трудные в трудные времена в трудные времена в трудные в трудные времена в трудные в трудные времена в трудные в трудные времена в трудные времена в трудные в трудные времена в трудные времена в трудные времена в трудные времена в трудные в трудные времена в трудные времена в трудные времена в трудные в в в в в трудные в в трудные,Б
"Взгляните на , и жертвы , жизнь и нескольких детей , а также за ним .",В
"человек в среднем составляет 1 - 2 000 часа в год до того , как они достигают 50 - 1 , 300 - 1 , 500 часов в начале 60 - х гг . и в сторону - 1000 в качестве ответа на 70 , 000 .",Л
США никогда не будут снова на побережье Азии .,С
"Поскольку он в бедных странах , кажется , мир .",П
"Восемь лет 7 % годового ВВП во время предыдущего президентства Путина ( 2000 - 2008 гг .) позволили России погасить свои долги , накопить почти 600 миллиардов долларов валютных резервов и присоединиться к ведущим развивающимся экономикам .",В
"Мы находимся на между старой медицины и новой - все еще в , но способны увидеть на горизонте нечто совершенно отличное от .",М
"Саркози , и не являются ни .",С
"Похоже , что политика кажется оживления экономики , кажется , не понимает и кандидатов .",П
"Но если ООН не принесет плодов в течение определённого срока , общественность может против своих политических лидеров – а также против израильских .",Н
"США , напротив , получают значительную часть своей мягкой силы не от правительства , а от гражданского общества – все , начиная от университетов и фондов и заканчивая и поп - культурой .",С
"ли незаконно действовать до сих пор в результате расследования , но , учитывая , что цена на акции внезапно упала на 26 % за одну ночь , на 5 , 5 миллиарда евро стоимости компании – его положение выглядит .",Р
Важность надлежащих правил регулирования не стоит недооценивать .,В
В этом году в центр внимания оказался крупный соперник ‑ « Societe Generale ».,В
"Например , 23 июня газета The Financial Times сообщила о том , что « сотни фабрик , в , поставляют Западным и , , и ; постепенно открылись вновь под жестким контролем полиции ... после нескольких дней протестов десятков тысяч рабочих , более высоких зарплат », требуют более высоких зарплат ».",Н
"Когда были сильны , а либерализм слаб , писатели , политики , политические партии и газеты часто говорили нам : демократия не важна для стран третьего мира .",К
"Так что , если Фонд хочет восстановить свою идентичность в качестве , то есть смысл изменить центр тяжести .",Т
"И герой фильма , - , , что и , и все же кажется совершенно верным , так же герой , как вы могли бы надеяться на это .",И
"Вполне вероятно , что элита будет оставаться в стороне , как новая попытка должна покинуть то , что они считают .",Е
"Скептики , однако , предупреждают , что СМИ голоса , которые мы слышим , и что они менее заинтересованы в том , чтобы националисты , чем в .",С
"Инвестиционные банки по целому ряду показателей , как университеты ‑ от академических результатов до их в процессе управления окружающей средой , или же их обращение к . студентам - .",И
"США рассматривают возможность введения налога на наследство для иностранных активов американских ценных бумаг , и многие люди считают , что они будут пытаться играть « карту »: свой государственный долг и девальвировать свою национальную валюту , чтобы сохранить конкурентоспособность .",С
"Европейцы свою историю на Азию и рассматривают текущие события как простое повторение , если не , то в Европе это происходило .",Е
"Но США заняли твердую позицию в отношении Южно - Китайского моря , который включает в себя важные морские пути поставок нефти из Ближнего Востока и из Европы , и за которые постоянно регулярно военные и коммерческие самолеты , были под Закон ООН ( ).",О
"Вместе с медицинскими исследователями Дэвид и , я предложил план такого подхода .",В
"В октябре 2007 года Владимир Путин стал первым российским лидером со времен Брежнева , который посетил Иран , к пяти руководителей государств моря .",В
"В конце концов , правы ли иностранные лидеры , чтобы своих людей историями о Японии ?",В
"Но это также должно задуматься над тем , как он может продемонстрировать более сильное обязательство по обеспечению безопасности , демократии и процветания в европейском « ».",О
"Кажется мне , что для этого в 2012 году нужно было бы сделать одну из примеров .",М
"Действительно , с тех пор как династия объединила страну и режим , около 2000 лет назад , ответственность за долг считалась проблемой центрального правительства .",Д
"Свобода передвижения без контроля , которые соглашения привели в большей части ЕС , за цену процедуры для вступления в другие европейцы .",В
"Он не может противостоять своей - жизни и не всегда , но всегда и отношениям с .",О
"Вместо этого Хамас свое внимание на Западном Берегу , где у нее нет политической власти .",Т
"Впервые иранцы увидели его в общественных мероприятиях и в СМИ , не только ядерную политику , но и политические программы для женщин , молодежи и культурных вопросов .",П
"Бирмы сообщили , что голосование будет отложено в тех местах , которые наиболее пострадали от до 24 мая , но референдум будет продолжаться по мере того , как будет в других частях страны .",П
"движение – это новое , за которое спасение Земли заменили души .",Д
"Это помогло многим из них выдержать недавний шторм , но он также способствовал глобальному .",Э
"Одним из результатов этого является то , что производство в Европе во многих местах стало более , с капитала , заметно .",О
Новая ?,Н
"Разногласия из лабораторий и психиатрических , в заголовках , законодательных изменений , и оказывают влияние на результаты судебных процессов и уголовных судебных процессов .",Р
Лидеры никогда не будут или только с обстоятельствами .,Л
"У них есть веские причины для того , чтобы избежать подобных тщательного контроля .",И
"Холодная война была между двумя столь же сильными конкурентами , которые в конечном итоге должны были были отказаться .",Х
С наступлением резкого спада правители Польши начали стремиться стабилизировать политическую систему и восстановить отношения с Западом .,К
"Представление Ромни и его сторонников о том , что только военная мощь США может сохранить мировой порядок – это глубоко . .",Р
Япония представляет собой самую яркий пример этой проблемы .,С
"Как , « Мы ООН , и это мы !» – : « Мы ООН , – мы",К
Но так легко отвергать снижение популярности Америки .,Н
Данное насилие становится в отсутствии дипломатического соглашения .,Д
У палестинцев есть одно правительство с двумя политикой .,У
"Если не были уверены в всеобщем избирательном отношении , политические компании уже не были заинтересованы в том , чтобы улучшить жизнь и здоровье , как , например , , а также лечение болезней , связанных с , и .",П
"В году Папа Римский выпустил , о правах рабочих , которая фундаментально вызов современному политическому и подходу к политике .",В
вакуум вступил в должность президента Буша .,И
"Но коалиция , которую согласились консерваторы в Вашингтоне с либеральными демократами , третье место ( которая должна предоставить правительству большинство в парламенте ), не является таким , как некоторые люди думают .",О
"Что касается островов Сенкаку / , лучшее предложение принадлежит .",Ч
"В Южной Корее недавно запустила программу , чтобы привлечь инновационные идеи у общественности , обещая акции , доходы от любой идеи , которую компания .",В
Что обойдется всему миру ?,В
"Но другие , как члены более революционных офицеров , но , обвиняют - в принадлежности к влиятельной анти - фракции в министерстве , « люди аль - » ( после бывшего министра внутренних дел аль - ).",О
"Если арабы верят в свой собственный аргумент о том , что - это колониализм , с которым они жертвами , то , что или нет , кто - либо другой принимает это мнение , уроки , которые арабы - от колониального опыта становятся важными для мира между арабами и израильтянами .",Е
"Опросы общественного мнения показывают , что прежде всего американцы хотят рабочие места – это начало процесса вовлечения .",О
Это стало среди правительств Восточной Азии .,Э
"сила - внешний спрос , так как Германия , второй по величине экспортер в мире , прибыль от глобального бума .",Г
"Но политическая система Америки вот - вот обеспечит баланс сил в Вашингтоне , что , вероятно , приведет к патовой ситуации и .",Н
"Но , возможно , проблема гораздо глубже : транснациональные корпорации , медиа - и могущественные бюрократические структуры превращают политические партии в организации , главная задача которых заключается не в общественной сфере , а в защите специфических и интересов .",Н
Это также самый крупный торговый партнер всех десяти членов Ассоциации государств Юго - Восточной Азии ( АСЕАН ).,О
"И все же , даже если страна не была экономическим кризисом , было бы ожидать , что одна маленькая страна будет нести бремя – особенно в год , когда , как ожидается , более 800 000 беженцев через свою территорию .",О
Роль будет ограничиваться только социальной сферой .,Р
"Палестинская автономия и кабинет министров открыли , а также палестинская полиция и служба безопасности .",Б
"В результате , ее ежегодный экспорт – который включает в себя кино и , автомобили и , неизбежно , незаконной торговлю оружием – составляет менее 1 миллиарда долларов .",В
"Любое отклонение от официально поведения было воспринято с подозрением и , скорее всего , .",Л
"Сегодня аналитики предсказывают , что экономика вряд ли вырастет до 1 % в этом году , и что это самый лучший сценарий .",Т
"Как ее , деревьев и ?",И
"Ослабление может стимулировать рост путем поднятия цен на активы ( акции и жилье ), снижение частных и государственных затрат и ограничения , а также ограничения риска падения фактической и ожидаемой инфляции .",О
Он должен снова вырасти к проблеме .,О
Но большинство людей бывшего советского блока не считают этого .,Н
"Безусловно , неравенство доходов и социальная несправедливость капиталистической культуре по всему Западу .",Н
"Кто будет решать , какая будет иметь более высокую защиту от рака и сердечных заболеваний ?",К
Как тогда люди остаются и .,К
"Действительно , рост во многих развивающихся странах – начиная с Китая – очень зависит от развитых экономик .",Ф
"В Японии были освобождены из тюрьмы , « красные » были , а правые правительства во главе с некоторыми теми же бывшими военными преступниками получили американскую поддержку .",В
"к саммиту в Копенгагене в декабре , когда мы новое глобальное соглашение по борьбе с изменением климата , не меня .",Я
Самым разрушительным является свержение правительства бывшего президента Египта Мохамеда Мурси лишила Хамас возможности поставок и вооружения и вооружений Хамас .,С
Нет ничего неизбежного в распространении ‑ или падении ‑ процветания .,Н
были в сроках сроки .,Н
Барак Обама и американская власть в американском энергетическом положении и Америка с американской и американской державой,Б
"Некоторые игроки в жизни говорят , что это , и они разоблачить тех , кто это делает .",Н
1 декабря Пенья Ньето удалось сместить Фелипе Кальдерона на посту президента .,П
Эти контракты являются наиболее и остаются основой социальных отношений в Китае сегодня .,Э
"Но нет сомнений в том , что альтернативная ценность была значительно разрушена , и , скорее всего , будет оставаться таковой на протяжении нескольких лет .",Н
Но после обмена мнениями за закрытыми дверями не было сделано совместное заявление и только версия встречи была опубликована в китайских государственных СМИ .,Н
Ельцин понял это .,Е
Для этого требуется налогово - бюджетная политика . .,Т
"Рост экстремистских националистических националистов в таких местах , как Греция и Финляндия , укрепил веру в то , что разговоры о иммиграции , за исключением того , чтобы выступать против него , политически .",Р
"Без настойчивости судьи судьи в проведении этого вопроса , суд над был бы практически невозможным , вследствие сильной оппозиции со стороны богатых и СМИ , .",Б
был членом комитета и написал положительный отчет о теории эффекта .,О
"Это означает , что мы должны быть готовы платить очень , чтобы остановить глобальное потепление , но все больше $ 7 будут экономически выгодными .",Э
"Три ракеты , в его присутствии , не смогли достичь своих целей по .",Т
"Конечно , ни один из них не был прав , но он почти сто лет до того , как , и британский по имени Уильям бы все аргументы о и простым , но .",К
"Комиссия пытается найти способы защитить права стран , не входящих в еврозону .",К
"Многие опросы показывают , что это практически похоже на , с преимуществом , долгосрочному и .",М
"Так что , "" марихуану , на голову , могут быть совершенно тем , что делают .",П
"Таким образом , утечка мозгов может быть благом и для стран - получателей , а также для стран , .",Т
"Неопределенность в регулировании может показаться не самой захватывающей темой , и это , вероятно , является причиной , почему доклад FMLC привлекает так мало внимания .",Н
"Гордон Браун , очевидно , хочет преуспеть Тони Блэра в качестве британского премьер - министра .",Т
"Большинство считают их , и , следовательно , ожидали пар того , что сегодня требует от мусульман в : уважение к чувствам других людей .",Б
"По существу , это утверждение о том , что война была оправдана как средство содействия прав человека .",П
Плохие новости о мега - и нехватке пресной воды простирается от Бразилии до Калифорнии в страны Ближнего Востока .,П
Мы не можем друг с другом .,У
"десятилетия , а не один сезон , чтобы ответить на такие вопросы .",Н
"Но это возобновление должно начаться сейчас , и ООН , в особенности Генеральная ассамблея , является тем местом , которое должно начаться .",Н
Годами эта система .,Н
"Америка гордится одним из самых процветающих стран мира , и может , что в прошлом году каждый год за исключением одного ( 2009 ) ВВП на душу населения вырос .",А
"По крайней мере , Международный валютный фонд обладает этими и недостатками политики .",П
лето для Пакистана лета,Ж
"Если он добьется успеха – химическое оружие Сирии будет уничтожен , мирная конференция положит конец гражданской войне , правительство получает власть , а США и Иран начнут прямые переговоры по иранской ядерной программе и региональной стабильности на Ближнем Востоке – он действительно заслуживает Нобелевскую премию мира .",Е
"По данным официальной статистики США , реальный ВВП на одного работника составил в среднем 2 , 3 % с по 1972 год , но только на 1 , 5 % с тех пор .",П
"ПАРИЖ – В прошлом месяце Европейская Комиссия опубликовала свои самые планы банковской реформы , целью которых является сдерживание рискованных операций крупнейших банков Европейского Союза .",П
"Но даже во многих странах в этих регионах практика китайская практика , такая практика , как , например , рабочую силу в инфраструктурные проекты , не пользуется популярностью .",Н
"Но , как я сказал им , у них есть большая задача убеждений , которая бы их .",Н
Почему ожирение увеличивает практически везде ?,П
"Более того , чем ожидалось , темпам экономического роста Австрии способствовали более низкие : налогово - бюджетная консолидация и структурные реформы .",Б
"Они не упоминают о расходах , на остальную экономику – потеря производства в Европе и США , которые составляют значительно более 5 триллионов долларов .",Н
"Они , что Израиль поможет решить проблему во всем мире , позволяя каждому , которые бы хотел покинуть , сделать это .",О
"С лидерством Франции 2011 год предлагает возможность для наиболее важных рынков капитала , чтобы принять , точные правила , требующие полную финансовую информацию компаниями в государственные органы власти .",С
"Можно лишь строить о Шойбле , когда он пропагандирует Grexit .",М
"Проблема заключается в том , что отношения между объемом денежной массы ( которые в конечном счете определяют ценность денег ) и ценами .",П
"Группа , которую называют ( ) была одним из первых , и это вызвало тревогу по поводу того , что она называет « протекционистской идеей ».",О
"Но никто не имеет права жаловаться относительно “ высоких процентных ставок ” центрального банка , денежно - кредитной политики , когда фискальная политика остается слишком для того , чтобы понизить процентные ставки , не рискуя стабильностью цен .",Н
Сильное международное давление помогло быстро сдержать вторую войну в Газе .,С
"Мы также можем определить , сколько доходов сегодня поднять , а не в будущем ( путем бюджетного дефицита ).",М
"контракты дефолтных свопов похожа на покупку страховки на жизнь человека , а также на владение ему право убивать его .",П
"Это также , и сам по себе на нашу свободу высказываний , которая гарантирована в нашей конституции .",Э
"Во - первых , есть смысл его воздействия на рабочую зарплату и мелких розничных торговцев .",В
"Но языка естественных наук нельзя применить к изучению человеческих существ , где проходят множество теорий и подходов .",О
"На всех трех недель и президент , премьер - министр и весь кабинет министров , предоставляют форум , в котором напряженность может быть и .",В
Проблема,П
или или или или или или или или или или или или или или или или или или или или или или или или или или или или или или или или или или или или,С
"В действительности , демократия является хрупким , в лучшем случае через Северной Африки ; и на Ближнем Востоке , Иордания , палестинские территории , Кувейт и Саудовская Аравия только начали ощущать волной региону .",Д
"иначе означает отказаться не только от нашей свободы , но и от надежд на лучшую жизнь .",Д
"Китай находится в центре Азии , где расположены земли или морские границы с 20 странами ; таким образом , в отсутствии участия Китая будет невозможно установить основанный на законах региональный порядок .",К
"Но европейцы , хотя и национальные планы по восстановлению экономики , по - прежнему не желают брать на себя аналогичный долговой риск .",Н
"не является , но , конечно , это превосходство .",Г
"Несмотря на ужасное финансовое положение , на сегодняшний день японские государственные облигации ( ) остаются стабильными .",Н
"Хотя это может означать , что Китай « разделение » между и мировой экономики знаний , он не приведет к ликвидации этого разрыва .",Н
"Для успешного спасения стран , пострадавших от финансового кризиса ‑ Мексики , Южной Кореи , Таиланда , Бразилии , Турции ‑ необходимы два условия : надежного желания страны вводить жесткие меры жесткой экономии и структурные реформы , необходимые для восстановления устойчивости и экономического роста ; и массивное официальный срок погашения для того , чтобы избежать кризиса и / или частных долгов .",В
"Это не богатые или сельскохозяйственные нации : некоторые кофе и здесь , маленькое и , а также там , и не имеющие никакого отношения к буму .",Э
"Для выживания международной налоговой конкуренции – и , таким образом , можно рассчитывать на корпоративные налоги как источника доходов – корпоративный налог в Японии должен быть в долгосрочной перспективе .",Ч
"Запасы вакцины гриппа необходимо увеличить , чтобы все люди были .",З
"Основная причина проста : жизнь женщин не , и даже сами женщины воспринимают свои страдания как неизбежные .",Г
"ЕС , однако , не должен позволять США или Израилю заручиться поддержкой своих усилий по разработке плана действий , приемлемой для всех региональных партий , или же стремиться к тому , чтобы Сирия стала более , если она будет принимать участие в этом процессе .",Е
Все палестинцы были ещё более .,П
"Закон 2002 года сделал гораздо сложнее повторить те виды , которые делала компания Enron и .",З
"Но ненависть может сопровождаться для себя , в миссию .",Н
"Однако , неудача дает такие ужасающие перспективы , что никто не может надеяться на это .",О
Из - за своего тюремного срока Анвар не смог провести последние выборы .,И
"МВФ будут погашать МВФ , а не экономику .",К
"Где много людей , которые получают выгоду от торговли , включая знаменитостей , которые так сильно заботятся о спасении бедности и развитии развития ?",Г
"Вместо этого , конференция должна стремиться к более широким вопросам политической и социальной стабильности в Йемене .",В
"Подобным образом , необходимо сохранить усилия по ослаблению влияния Ирана в регионе , в то время как региональные амбиции Турции должны помнить .",А
"Некоторые могут , что этот подход невозможен на глобальном уровне , потому что все политические действия носят местный характер .",К
"Мы также рискуем создать конкурирующие структуры , которые ослабит учреждения в целом .",В
"Эти две по своей природе противоречивыми , но баланс между ними все еще лучше за счет , парламентской демократии .",Э
